Sample ;13C;15N;group;community
ISO 1-1;-25.27;3.67;AU1;offsite
ISO 1-2;-25.99;4.76;AU1;offsite
ISO 1-3;-25.10;4.91;AU1;offsite
ISO 2-1;-27.60;5.19;AU2;offsite
ISO 2-2;-28.61;5.50;AU2;offsite
ISO 2-3;-23.39;6.03;AU2;offsite
ISO 10-1;-14.61;7.81;AU10;onsite
ISO 10-2;-15.47;10.29;AU10;onsite
ISO 11-1;-16.05;9.76;AU11;wetland
ISO 11-2;-12.14;8.31;AU11;wetland
ISO 12-1;-14.63;8.26;AU12;wetland
ISO 12-2;-10.35;9.79;AU12;wetland
ISO 12-3;-16.34;7.83;AU12;wetland
ISO C-1;-17.03;9.64;DEL;wetland
ISO D-1;-16.26;10.93;Igreja;onsite
ISO D-2;-15.40;5.46;Igreja;onsite
ISO F-1;-15.96;8.40;Gurupa Midi;onsite
ISO F-2;-14.55;7.38;Gurupa Midi;onsite
ISO 5-1;-14.13;7.90;AU5;onsite
ISO 5-2;-16.40;9.69;AU5;onsite
ISO 5-3;-16.86;11.60;AU5;onsite
ISO 5-4;-18.04;6.96;AU5;onsite
ISO 6-1;-14.23;7.65;AU6;offsite
ISO 6-2;-14.37;7.66;AU6;offsite
ISO 7-1;-15.15;9.98;AU7;onsite
ISO 7-2;-13.21;9.31;AU7;onsite
ISO 7-3;-15.94;10.94;AU7;onsite
ISO A-1;-12.81;10.92;Carrezedo;onsite
ISO A-2;-14.70;12.20;Carrezedo;onsite
ISO A-3;-10.27;9.18;Carrezedo;onsite
ISO A-4;-13.41;8.28;Carrezedo;onsite
ISO A-5;-12.20;7.45;Carrezedo;onsite
ISO B-1;-11.40;7.61;Carrezedo;onsite
ISO B-2;-15.28;4.76;Carrezedo;onsite
ISO B-3;-15.00;5.68;Carrezedo;onsite
ISO B-4;-15.48;10.54;Carrezedo;onsite
ISO E-1;-16.00;6.86;Gurupa Midi;onsite
ISO E-2;-14.68;9.90;Gurupa Midi;onsite
ISO 8-1;-27.00;2.33;AU8;offsite
ISO 9-1;-28.03;4.28;AU9;offsite
ISO 3-1;-24.81;10.34;AU3;onsite
ISO 3-2;-15.22;10.66;AU3;onsite
ISO 3-3;-11.50;8.39;AU3;onsite
ISO 4-1;-25.37;3.62;AU4;offsite
ISO 4-2;-26.16;4.29;AU4;offsite
ISO 4-3;-26.61;4.47;AU4;offsite
