Sample ;13C;15N;group;community
ISO 1-1;-33,73;1,46;AU1;offsite
ISO 1-2;-28,66;2,61;AU1;offsite
ISO 1-3;-28,61;2,88;AU1;offsite
ISO 10-1;-27,94;3;AU10;onsite
ISO 10-2;-27,72;1,84;AU10;onsite
ISO 11-1;-27;3,56;AU11;wetland
ISO 11-2;-26,97;2,24;AU11;wetland
ISO 12-1;-30,8;4,73;AU12;wetland
ISO 12-2;-28,07;5,11;AU12;wetland
ISO 12-3;-27,54;5,39;AU12;wetland
ISO 2-1;-29,63;3,86;AU2;offsite
ISO 2-2;-28,84;2,12;AU2;offsite
ISO 2-3;-28,83;3;AU2;offsite
ISO 3-1;-30,85;1,31;AU3;onsite
ISO 3-2;-29,21;2,73;AU3;onsite
ISO 3-3;-28,18;4,06;AU3;onsite
ISO 4-1;-35,66;3,75;AU4;offsite
ISO 4-2;-30,17;5,19;AU4;offsite
ISO 4-3;-27,95;5,07;AU4;offsite
ISO 5-1;-29;2,26;AU5;onsite
ISO 5-2;-28,21;5,33;AU5;onsite
ISO 5-3;-28,05;4,83;AU5;onsite
ISO 5-4;-28,01;5,53;AU5;onsite
ISO 6-1;-29,79;3,38;AU6;offsite
ISO 6-2;-27,73;2,25;AU6;offsite
ISO 7-1;-31,25;4,3;AU7;onsite
ISO 7-2;-28,66;4,77;AU7;onsite
ISO 7-3;-30,13;2,62;AU7;onsite
ISO 8-1;-31,1;2,83;AU8;offsite
ISO 9-1;-29,88;1,23;AU9;offsite
ISO A-1;-28,17;9,55;Carrezedo;onsite
ISO A-2;-26,6;6,27;Carrezedo;onsite
ISO A-3;-28,15;6,3;Carrezedo;onsite
ISO A-4;-27,17;6,33;Carrezedo;onsite
ISO A-5;-27,09;4,29;Carrezedo;onsite
ISO B-1;-26,7;9,26;Carrezedo;onsite
ISO B-2;-26,55;7,7;Carrezedo;onsite
ISO B-3;-27,44;8,76;Carrezedo;onsite
ISO B-4;-27,78;10,81;Carrezedo;onsite
ISO C-1;-24,67;2,18;DEL;wetland
ISO D-1;-24,05;5,26;Igreja;onsite
ISO D-2;-25,82;4,63;Igreja;onsite
ISO E-1;-25,65;1,62;Gurupa Midi;onsite
ISO E-2;-25,69;4,31;Gurupa Midi;onsite
ISO F-1;-25,22;8,2;Gurupa Midi;onsite
ISO F-2;-24,96;8,1;Gurupa Midi;onsite
